Date,City,Cause of Death
5/10/03,Potts Point -  New South Wales -  Australia,Drug-Related
5/31/03,Mossman Gorge National Park -  Queensland -  Australia,Drowning
6/12/03,Twofold Bay -  Eden -  New South Wales -  Australia,Drowning
6/15/03,Palmwood -  Queensland -  Australia,Drowning
7/17/03,Hobart -  Tasmania -  Australia,Veh. Accident-Auto
7/25/03,Sydney -  New South Wales -  Australia,Drug-Related
7/26/03,Litchfield Park -  Northern Territory -  Australia,Drowning
8/13/03,Pampoolah Rd Taree -  New South Wales -  Australia,Veh. Accident-Auto
9/27/03,Oakleigh -  Victoria -  Australia,Suicide
10/12/03,Pacific Highway -  Jones Island -  Australia,Veh. Accident-Auto
10/17/03,Southport -  Queensland -  Australia,Veh. Accident-Auto
10/22/03,Townsville -  Queensland -  Australia,Drowning -Ocean
11/3/03,Otford Rd -  Otford -  New South Wales -  Australia,Veh. Accident-Auto
11/3/03,Victoria Rd -  West Ryde -  Australia,Veh. Accident-Auto
11/7/03,Northam -  Western Australia -  Australia,Veh. Accident-Motorcycle
11/7/03,Toodyay-bindi Bindi Road Near Balgalling Rd -  Toodyay -  Western Australia -  Australia,Veh. Accident-Motorcycle
12/11/03,Canberra -  Australian Capital Territory -  Australia,Drug-Related
12/27/03,West Tamar Highway -  Beaconsfield -  Tasmania -  Australia,Veh. Accident-Auto
1/13/04,Sydney -  New South Wales -  Australia,Suicide
1/17/04,Hope Island -  Queensland -  Australia,Suicide
1/20/04,Burnside -  South Australia -  Australia,Suicide
2/7/04,Sydney -  New South Wales -  Australia,Suicide
2/14/04,Lavers Hill -  Victoria -  Australia,Veh. Accident-Motorcycle
3/5/04,Sydney -  New South Wales -  Australia,Drug-Related
5/8/04,Surry Hills -  New South Wales -  Australia,Other Accident
6/13/04,Bonnie Doon -  Victoria -  Australia,Homicide
6/16/04,Hastings Reef Via Cairns -  Queensland -  Australia,Drowning
6/16/04,New South Wales -  Australia,Veh. Accident-Motorcycle
6/28/04,Sunnybank -  Queensland -  Australia,Suicide
9/2/04,One Tree Hill -  South Australia -  Australia,Veh. Accident-Auto
9/11/04,Red Rock Beach -  Near Coffs Harbour Nsw -  Australia,Drowning
9/25/04,Wonga Beach -  Queensland -  Australia,Suicide
11/1/04,Riddoch Highway -  Coonawarra -  South Australia,Veh. Accident-Auto
11/12/04,Western Highway -  Near Nhill -  Victoria -  Australia,Veh. Accident-Auto
11/14/04,Braslins Road -  Black Hills -  Tasmania -  Australia,Other Accident
11/24/04,Agincourt Reef -  Queensland -  Australia,Drowning
12/1/04,266 Km East Of Norseman -  Western Australia -  Australia,Veh. Accident
12/3/04,22 Airport Road -  Glenugie -  New South Wales -  Australia,Drug-Related
12/10/04,Kensington -  South Australia -  Australia,Suicide
2/15/05,Glenelg -  South Australia -  Australia,Suicide
3/16/05,Intersection Stuart Hwy & Hatt Rd. -  Alice Springs -  Northern Territory -  Australia,Veh. Accident-Auto
4/10/05,Pope Road -  Black River -  Queensland -  Australia,Veh. Accident-Auto
4/12/05,Tapley's Hill Road -  West Beach -  South Australia -  Australia,Veh. Accident-Auto
6/21/05,Mitchell Falls Plateau -  Western Australia,Other Accident
6/27/05,New South Wales -  Australia,Veh. Accident-Auto
6/27/05,New South Wales -  Australia,Veh. Accident-Auto
6/27/05,New South Wales -  Australia,Veh. Accident-Auto
7/5/05,Wollahra -  New South Wales -  Australia,Suicide
9/11/05,Queensland -  Australia,Suicide
10/30/05,Camperdown -  New South Wales -  Australia,Other Accident
1/13/06,Dysart Middlemount Road -  Middlemount -  Queensland -  Australia,Veh. Accident-Auto
2/20/06,Saxon Reef -  Off The Coast Of Cairns -  Queensland -  Australia,Maritime Accident
3/3/06,Lorne Beach -  Lorne -  Victoria -  Australia,Drowning-Beach
7/2/06,Cloverdale -  Perth -  Western Australia,Suicide
8/8/06,Yallingup -  Western Australia,Drowning
9/19/06,Marsden -  New South Wales -  Australia,Suicide
9/29/06,Sturt Street -  Townsville -  Queensland -  Australia,Veh. Accident-Auto
10/23/06,Mooroolbark -  Victoria -  Australia,Other Accident
2/9/07,ferntree Gully -  Victoria -  Australia,Homicide
2/18/07,Sassafrass -  Victoria -  Australia,Suicide
2/18/07,Springbrook Road -  Queensland -  Australia,Veh. Accident-Motorcycle
2/19/07,Clade Batten Drive -  Noosa Heads Queensland -  Australia,Veh. Accident-Motorcycle
3/1/07,Hillcrest -  Queensland -  Australia,Suicide
9/1/07,Sydney -  Australia,Suicide
9/10/07,New South Wales -  Australia,Suicide
9/23/07,Maddington -  Australia,Suicide
11/12/07,White Rock -  Queens Land -  Australia,Drowning
1/7/08,23klm Minnie Bridge -  Great Northern Highway Derby Western Australia,Veh. Accid-Auto
2/11/08,Bendigo -  Victoria -  Australia,Other Accident
10/31/08,Sydney -  Kingswood -  New South Wales -  Australia,Suicide
12/4/08,Queensland -  Australia,Suicide
2/7/09,Kinglake Victoria -  Australia,Disaster
4/10/09,Perth -  Australia,Suicide
6/6/09,Whyanbeel -  Queensland -  Australia,Drowning
6/15/09,Boronia -  Victoria -  Australia,Other Accident
7/8/09,Queensland -  Australia,Drowning
